file,mean_dchg_cap_Ah,delta_dchg_cap_Ah,mean_chg_cap_Ah,delta_chg_cap_Ah,mean_coul_eff,delta_coul_eff,mean_v_dis_avg,delta_v_dis_avg,mean_v_chg_avg,delta_v_chg_avg,mean_t_dis_h,delta_t_dis_h,mean_t_chg_h,delta_t_chg_h,mean_i_dis_A,delta_i_dis_A,mean_i_chg_A,delta_i_chg_A,mean_energy_dis_Wh,delta_energy_dis_Wh,mean_polarization_V,delta_polarization_V,slope_cap_per100,slope_energy_per100,slope_polar_per100,health_score,label_score,label_gmm,label
./data/2025-06-25 GraSi NMC811 LP57 TXFC 2_8_7_2025-07-03 17-10-45_bad.xlsx,2.6e-06,0.0,2.592e-06,2.88e-06,1.4083333333333334,-2.888888888888889,1.922629,-0.3351550000000001,3.8708306666666665,-0.9509666666666665,0.000277777777777778,0.0,0.0009999999999999996,0.001111111111111112,0.0040840238,0.0007256830000000013,0.0025906422,-4.999999999970306e-09,3.2784464628888916e-06,7.040380722222225e-07,1.9482016666666664,-0.6158116666666664,-2.1720207195879404e-20,1.0856442690277747e-05,-11.60083333333334,-4.015457515243526,bad,bad,bad
./data/2025-06-25 GraSi NMC811 LP57 TXFC 3_8_8_2025-07-03 17-11-01_bad.xlsx,2.6e-06,0.0,2.448e-06,2.16e-06,1.4444444444444444,-2.7083333333333335,1.9094280000000001,-0.5693599999999999,3.8927600000000004,-1.4056799999999998,0.000277777777777778,0.0,0.0009444444444444436,0.000833333333333332,0.003938620800000001,2.1999999999695874e-08,0.0025904548,1.5399999999960584e-07,3.2207571955277803e-06,-4.459105104166674e-07,1.9833320000000003,-0.83632,-2.1720207195879404e-20,-1.1948533236111148e-05,-16.034399999999994,-2.8169856358948366,bad,bad,bad
./data/2025-06-25 GraSi NMC811 LP57 XFC15 1_6_7_2025-06-25 18-08-00_bad.xlsx,0.001116854,-0.00191841,0.002340922666666667,-0.00485233,0.5227121264767506,0.0692545148874199,3.1071907213897796,-0.9723939745627974,3.9920190973252883,0.3113302785923757,1.0707407407407403,-1.7499999999999967,1.196333333333333,-1.873055555555559,0.0017095771743383683,0.0011478224252782195,0.0024523495593090036,-1.7157258064498873e-07,0.003956841310523507,-0.007684993592212914,0.8848283759355084,1.2837242531551731,-0.0002849189355989838,-0.0010208785377216875,0.1756753158727378,-1.2737920980364676,bad,good,bad
./data/2025-06-25 GraSi NMC811 LP57 XFC15 2_6_8_2025-06-25 18-08-00_good.xlsx,0.002074898888888889,0.00126104,0.0043767400000000005,-0.0015906700000000002,0.49400326837126624,0.6136051612008296,3.5186363704057695,0.2446732212027518,3.856395574353773,0.05420170983874417,2.045370370370371,4.52777777777778,2.2247530864197533,4.20305555555556,0.001317368801105793,-0.0008851547026755805,0.0023602481255541475,-0.0020724524494104613,0.007551770030028552,0.004691054606154167,0.3377592039480037,-0.19047151136400764,0.0005362842675499886,0.002077095297718084,-0.07663572411816387,3.6032135695313237,good,good,good
./data/2025-06-25 GraSi NMC811 LP57 XFC15 3_4_5_2025-07-03 17-09-08_bad.xlsx,0.0019350342857142858,-6.000000000007735e-08,0.005775925714285714,-0.0004973399999999998,0.3401022590877375,0.033709683812854996,3.426134402513837,-0.12061753089117078,3.985042100427094,0.12661993995456022,1.1415476190476193,-0.9458333333333291,2.229484126984127,-0.19194444444445025,0.0014442272198672366,4.543588649770589e-05,0.0025906998408187242,-3.61272855129921e-08,0.0067635152101047395,-0.00016504940897641741,0.5589076979132571,0.247237470845731,-4.999999999981812e-07,-0.001372985702626013,4.574465969150232,0.39102803215517756,good,good,good
./data/2025-06-25 GraSi NMC811 XFC-1 1_6_5_2025-06-25 18-08-00_bad.xlsx,0.0017232644444444443,8.628999999999993e-05,0.003647773333333333,-0.00107588,0.504567005874545,0.1981442965235013,3.292839130541248,-0.14332717943217643,4.019863704751362,0.17039189214085404,0.9242283950617289,2.997777777777782,1.924135802469137,4.22888888888889,0.001454553017491352,-0.0009359921553069115,0.0023602580617182326,-0.0020724431818029557,0.00596139955529679,-0.00012735385790388007,0.727024574210115,0.3137190715730305,-0.000271207382295602,-0.0011461956076643145,0.1949554738714718,0.49244813046593794,good,good,good
./data/2025-06-25 GraSi NMC811 XFC-1 2_6_6_2025-06-25 18-08-00_bad.xlsx,0.00133427875,-0.00180317,0.00252559,-0.00348988,0.5592934354415822,0.041109106887583735,3.273393758816204,-0.4002970017672096,3.9732299229596535,0.16045072649572623,0.21187499999999998,-0.6597222222222222,0.9750000000000006,-1.3472222222222245,0.0017446035634037416,0.0009317650636597318,0.002590352241856059,-1.1149572649556475e-07,0.004787188014099811,-0.006196248180607923,0.6998361641434498,0.5607477282629358,-0.0014857327916231618,-0.005268767596256869,0.4217324245547387,-1.639017571696581,bad,good,bad
./data/2025-06-25 GraSi NMC811 XFC-1 3_6_7_2025-06-25 18-08-00_bad.xlsx,0.00169836625,-0.00189169,0.0033598699999999996,-0.00414056,0.5290651596897376,0.22660679883417706,3.3568097839252085,-0.6883586925925926,3.9180622714656868,0.18251237416756982,0.7155902777777783,-1.0358333333333367,1.296979166666666,-1.5983333333333334,0.0016036536547357012,0.000742330234814815,0.0025905251279715776,-1.0340096019819875e-07,0.006085963207735277,-0.006716281197993462,0.5612524875404782,0.8708710667601625,-0.00194372395478687,-0.006995118882550069,0.8678306205002376,-0.06765981760274245,bad,good,bad
./data/2025-06-25 GraSi NMC811 XFC-1 4_6_8_2025-06-25 18-08-00_bad.xlsx,0.0014233766666666666,0.0012507399999999998,0.0022342100000000004,-0.00107931,0.6363968768682727,0.6511308355541933,3.286480756347265,0.20210324878909214,3.990509141581759,0.1257700204659704,0.8416666666666669,5.3802777777777795,1.3354320987654316,3.8400000000000003,0.0016389677101487782,-0.0009381563800851953,0.002360205112259559,-0.002072406065631177,0.005147463095317873,0.004643075044524029,0.7040283852344954,-0.07633322832312173,0.0005382809378396558,0.0018487250280203953,-0.019830903090092784,-0.13556093040284725,bad,good,bad
./data/2025-07-09 GraSi NMC811 LP57 1_4_1_2025-07-09 18-00-28_good.xlsx,0.0019355,0.0,0.004403814285714286,-0.0002298000000000005,0.43961187342826763,0.022796469341316572,3.493164529704231,-0.0001823556113342839,3.8434121630034013,-0.002144168775096489,1.401019841269843,-0.16555555555556012,1.6997261904761884,-0.08866666666667,0.0014152670684443684,2.0108302472954037e-05,0.002590913568853909,-6.689410547234056e-08,0.006706006177641436,2.2914232767574927e-05,0.35024763329917086,-0.001961813163762205,1.8266877868041118e-17,0.000858405591419469,-0.02678553543933295,2.2012161076105348,good,good,good
./data/2025-07-09 GraSi NMC811 LP57 2_4_2_2025-07-09 18-00-45_good.xlsx,0.0019355999999999996,0.0,0.0045332714285714285,-0.00014319999999999958,0.4270120352091445,0.013405489676659776,3.490774982396823,0.00130691693378715,3.843119712584017,-0.0001428489049870585,1.5324960317460328,-0.0679722222222201,1.749623015873016,-0.05527777777776999,0.001405261928936339,7.574016280581476e-06,0.0025909989954219954,-1.315787502911836e-08,0.006850957532349776,-0.00013417753681445495,0.3523447301871939,-0.0014497658387742085,1.51576190145733e-17,-0.0019787277920458616,-0.04730428956655603,2.3367104633013414,good,good,good
./data/2025-07-09 GraSi NMC811 LP57 3_4_3_2025-07-09 18-03-38_good.xlsx,0.0019353714285714285,-1.0000000000005664e-07,0.004565728571428571,-0.0001404000000000006,0.4239253086093945,0.012949107442074947,3.4907993587882347,0.0018235944115918556,3.8421743497483356,0.00024933623091305535,1.563392857142857,-0.0719722222222201,1.7622222222222201,-0.05416666666667003,0.001401628686413191,8.051646360579881e-06,0.0025908937724044225,-3.508820720782291e-08,0.006925398392652595,-0.00016148335622296651,0.35137499096010133,-0.0015742581806788003,-1.4285714285622798e-06,-0.0027621316929967547,-0.03444576435509489,2.377898926298755,good,good,good
./data/2025-07-09 GraSi NMC811 LP57 DFEC 1_4_4_2025-07-09 18-04-12_bad.xlsx,0.0019355285714285713,0.0,0.0037624857142857142,-0.0008593999999999997,0.5187793578283494,0.12379364418343042,3.463941976026986,0.030785166684194287,3.9316447278943194,0.10371816403109113,0.6479325396825396,-0.286,1.4521825396825416,-0.3316666666666701,0.0015303609435059695,1.7611679286287651e-06,0.0025909185510194868,-3.807022246060665e-08,0.007063109976596391,0.00010345264942666563,0.4677027518673333,0.07293299734689684,-1.0714285714119553e-06,0.0018247455130525698,0.9412847324731648,1.1417169961686495,good,good,good
./data/2025-07-09 GraSi NMC811 LP57 DFEC 2_4_5_2025-07-09 18-04-26_good.xlsx,0.0019356142857142858,0.0,0.004262599999999999,-0.00027699999999999947,0.45427058387837566,0.029186251122097107,3.45305205476416,-0.001650352099665131,3.8692639491173657,0.003799207292794815,1.2582341269841257,-0.15930555555554982,1.6450833333333328,-0.10688888888887993,0.0014394081561299467,2.1614217013751465e-05,0.0025911114611426003,-4.905587366096226e-08,0.006786905402000056,-6.036998982494879e-06,0.4162118943532063,0.005449559392459946,7.142857142965238e-07,4.761821369197903e-05,0.08485234321967444,1.9425705163564486,good,good,good
./data/2025-07-09 GraSi NMC811 LP57 DFEC 3_4_6_2025-07-09 18-04-40_bad.xlsx,2e-07,0.0,7.5e-08,0.0,2.3333333333333335,0.0,-3.931351111111111,0.4246555555555558,4.7582249999999995,-0.3003,2.083333333333335e-05,-2.77777777777778e-05,2.77777777777778e-05,0.0,0.0033283600000000003,0.00032225999999999956,0.00199455,1.0999999999999725e-06,4.4441708833333365e-07,-5.118631291666672e-08,8.68957611111111,-0.7249555555555558,1.0134368906437181e-20,-1.3384449888888667e-06,-13.204866666666899,-12.764536555045744,bad,bad,bad
./data/2025-07-09 GraSi NMC811 LP57 LiDFP 1_4_7_2025-07-09 18-05-14_bad.xlsx,0.0019354857142857144,-9.99999999998398e-08,0.004500171428571428,-0.0019142000000000004,0.44052976096774316,0.1861720447254327,3.4785647503894026,-0.03276446334468641,3.9156751745593916,0.01308360049385815,1.0464563492063486,-0.9616111111111101,1.7367619047619043,-0.7386666666666701,0.0014728429897641574,0.0001297627857765847,0.0025911188169890067,-7.77016932280647e-08,0.006953784855047417,0.00031122417213220923,0.43711042416998863,0.04584806383854456,-1.0714285714113603e-06,0.006266893153243197,0.6206889514846389,1.7895922948174257,good,good,good
./data/2025-07-09 GraSi NMC811 LP57 LiDFP 2_4_8_2025-07-09 18-05-30_bad.xlsx,0.0019356857142857145,-1.0000000000005664e-07,0.004535028571428572,-0.0017394999999999997,0.4321139089722652,0.14271553646621238,3.4725181662711813,-0.02674553380573297,3.860816424357285,-0.0833448531469756,1.2925476190476186,-0.48213888888889,1.7502499999999999,-0.6713055555555498,0.0014355911837717653,6.272155706663562e-05,0.0025910807697484034,-8.032703005230249e-08,0.0068524847305505435,-6.214180660914226e-05,0.38829825808610446,-0.05659931934124263,-1.0714285714175788e-06,0.00035813141161661143,-0.6858297528452081,2.265263306114973,good,good,good
./data/2025-07-09 GraSi NMC811 LP57 LiDFP 3_6_1_2025-07-09 18-05-44_bad.xlsx,3.0000000000000004e-07,0.0,1.4285714285714285e-07,1e-07,2.1666666666666665,-1.5,-5.379058333333333,-0.031449999999998646,4.273007142857142,-1.0248999999999997,2.77777777777778e-05,0.0,0.0004999999999999993,0.0002222222222222222,0.003973983333333333,-0.00020842000000000083,0.0013907642857142858,-0.00113005,7.708033522685191e-07,2.372524444444366e-09,9.530999999999999,-0.9934500000000028,1.0257144601036391e-21,3.303855555555521e-08,-15.37135714285709,-13.84915233825524,bad,bad,bad
./data/2025-07-09 GraSi NMC811 XFC 15 1_6_5_2025-07-09 18-06-54_good.xlsx,0.0019355,0.0,0.004507242857142857,-0.00016850000000000025,0.42947431487459403,0.015795099147944414,3.4728073738565963,-0.0024007733867534853,3.862220086756119,-0.006277693892072556,1.4824126984127,-0.044194444444439984,1.739492063492063,-0.06497222222221999,0.0014111147380148838,5.2398263825656575e-06,0.0025911203231407227,-3.004980713827016e-08,0.006742049536684401,2.92997275127653e-05,0.3894127128995226,-0.0038769205053190703,1.8266877868041118e-17,0.0003494850449014002,-0.0721680841105653,2.2643258355970564,good,good,good
./data/2025-07-09 GraSi NMC811 XFC 15 2_6_6_2025-07-09 18-07-08_bad.xlsx,0.0012468527272727272,-0.0019345,0.003556937272727273,-0.0072425,0.46348158269669726,0.37986575873274686,3.12124283158075,-1.1612198203592818,4.018678829312243,0.050323412698412895,0.6440606060606059,-1.0689722222222222,2.403540404040405,-2.7949444444444436,0.0019266494465428178,0.0024707220558882236,0.0024026103421696003,-9.837301587303261e-07,0.0044195141135045584,-0.006951098754304044,0.897435997731493,1.2115432330576947,-0.0004331835098469819,-0.0015575920748684036,0.2809886215940117,-1.4392577008913277,bad,good,bad
./data/2025-07-09 GraSi NMC811 XFC 15 3_6_7_2025-07-09 18-07-22_bad.xlsx,0.0009816753333333332,-0.0019343,0.002061956666666666,-0.0051185,0.5038161939619881,0.10204647529779332,3.0987072425560416,-0.7907923888404538,3.8904875476270724,-0.06044586255259565,0.6380092592592591,-1.4707777777777822,0.9463481481481479,-1.9753055555555579,0.0024405349572166526,0.0025247201046207507,0.0024525771498405255,-1.0220196353439605e-06,0.0034520412338162622,-0.006751634357679146,0.7917803050710303,0.7303465262878581,-0.00028171755729249943,-0.0009963773134610678,0.1044082109426596,-2.0847989578027466,bad,good,bad
./data/2025-07-09 GraSi NMC811 XFC 1_6_2_2025-07-09 18-06-07_bad.xlsx,0.001935657142857143,0.0,0.004011314285714286,-0.0012545999999999994,0.48657823127547556,0.14129424204685204,3.4486288859246947,-0.037919553355652,3.8824300543550683,-0.012940935328813907,0.8951587301587304,-0.7759999999999971,1.547888888888887,-0.48411111111112004,0.0014994416992462566,0.00013730072432513864,0.0025914766793464087,5.296458332679221e-09,0.006924309786058414,0.0002463555790766514,0.43380116843037414,0.024978618026838095,-1.071428571423406e-06,0.0031248554687360267,0.5433676446940923,1.5240355427020846,good,good,good
./data/2025-07-09 GraSi NMC811 XFC 2_6_3_2025-07-09 18-06-22_good.xlsx,0.0019357999999999999,0.0,0.004467657142857143,-0.0002660000000000006,0.4334214637040971,0.025495863678578812,3.470473126650621,-0.004136291313944884,3.8558042478581993,-0.0055983172684612725,1.438380952380953,-0.1592499999999999,1.7241507936507945,-0.10266666666667001,0.0014165175319064756,1.907810558861604e-05,0.0025912212614835973,3.764126886964328e-08,0.00677099152913878,-5.7887185197625854e-05,0.38533112120757895,-0.0014620259545163883,1.8877963077543436e-17,-0.00019657431571887688,-0.04708559230927691,2.206168485286121,good,good,good
./data/2025-07-09 GraSi NMC811 XFC 3_6_4_2025-07-09 18-06-36_bad.xlsx,0.000923218,-0.0019353,0.0021439653333333334,-0.0051455,0.45618428712171205,0.07841363936650136,3.0440681168906716,-0.9056786222222222,3.9417225197517687,-0.026633100558659528,0.3889407407407408,-1.4092222222222222,1.0150500000000002,-1.9856666666666634,0.0024506071291724696,0.002517109022222222,0.002452652329517398,-1.417737430167796e-06,0.003215222458654492,-0.006741108741634028,0.8976544028610963,0.8790455216635626,-0.0002784724800116916,-0.0009706979286877006,0.09612586302932913,-2.6610019102975486,bad,good,bad
./data/2025-07-17 GraSi NMC811 XFC 1 1_3_1_2025-07-17 18-37-19_bad.xlsx,0.0019368857142857143,0.0,0.0038123428571428574,-0.0012232000000000002,0.5124314831403612,0.1689010117417955,3.4411698624431186,-0.06348791168786683,3.8961443461291085,0.036182728652779605,0.7735396825396827,-0.823,1.4710158730158713,-0.47194444444444006,0.0015335147807396415,8.931971533398977e-05,0.0025916213422933904,-7.851985821781537e-08,0.00698094227675593,9.843888447695626e-05,0.4549744836859899,0.09967064034064643,-7.142857142725824e-07,0.00242130180576465,1.5177108980775325,1.1002462754765472,good,good,good
./data/2025-07-17 GraSi NMC811 XFC 1 2_3_2_2025-07-17 18-37-35_bad.xlsx,0.0016184625,-0.0018541,0.0032808125,-0.0041614,0.5357125741317401,0.3005340718992759,3.366869443658639,-0.5178386746076766,3.9775282544763506,0.15363166666666705,0.5008541666666667,-1.1354722222222222,1.2659166666666686,-1.6056111111111133,0.0016458041074998142,0.0007687106305539792,0.0025914824496744886,-1.280611390283657e-06,0.005833866665146087,-0.006588882158051498,0.6106588108177116,0.6714703412743437,-0.001826267344560957,-0.0065680409731882555,0.5928695108414145,-0.45734769791034247,bad,good,bad
./data/2025-07-17 GraSi NMC811 XFC 1 3_3_3_2025-07-17 18-37-50_bad.xlsx,0.000584978,-0.0019371,0.001595726666666667,-0.0053486,0.5000279653881571,0.13781500037388772,2.608274064184612,-2.3556473694390716,3.984763802393027,-0.042740437890973926,0.18734444444444456,-1.1348611111111122,0.6480685185185185,-2.0635555555555576,0.002643531786230889,0.00245358081237911,0.0024528583067070803,-1.932394995532438e-06,0.0021046871457707974,-0.006805008101719293,1.3764897382084154,2.3129069315480977,-0.0001746483596310612,-0.0006312468942531179,0.26287904041198934,-4.523798107916436,bad,good,bad
./data/2025-07-17 GraSi NMC811 XFC 15 1_3_5_2025-07-17 18-38-33_bad.xlsx,0.0019370000000000001,0.0,0.004379657142857143,-0.00032490000000000036,0.44338192808949756,0.030705503092933906,3.4386881548824997,-0.05570488816530039,3.879184565260572,0.09242643098485726,1.242813492063492,-0.5811111111111109,1.6899523809523802,-0.12536111111110992,0.0014623330379973547,8.993916164912988e-05,0.0025915711700998903,-1.2928294331349816e-08,0.006826610588195843,-1.963663176151806e-05,0.4404964103780723,0.14813131915015765,1.071428571435902e-06,7.656084660038917e-05,2.722625693914057,1.1817960509315866,good,good,good
./data/2025-07-17 GraSi NMC811 XFC 15 2_3_6_2025-07-17 18-38-51_bad.xlsx,0.0019365571428571428,1.0000000000005664e-07,0.0044593857142857145,-0.0011907000000000003,0.4396884536705458,0.13983388940390007,3.4753736384752463,-0.039332555235634725,3.9007131259287786,0.05650197497865328,1.1513412698412708,-1.013277777777776,1.72075,-0.4594444444444501,0.0014760148572229364,0.0001442574205139538,0.00259153629918144,4.2964138545487085e-08,0.00690618265742076,0.0001167663231259608,0.42533948745353317,0.095834530214288,3.214285714297584e-06,0.004831507488038808,1.7986784585144553,1.5313772895106683,good,good,good
./data/2025-07-17 GraSi NMC811 XFC 15 3_3_7_2025-07-17 18-39-10_bad.xlsx,0.0019371857142857145,0.0,0.005167971428571428,-0.0031916,0.397880781170416,0.22131925463142282,3.473081089247162,-0.0484873637649077,3.9141677472484013,-0.08323013158088033,1.31213492063492,-0.7666111111111101,1.99407142857143,-1.2314166666666702,0.0014556397453455302,0.0001051534155753868,0.0025916514005278196,-8.268828221441593e-08,0.007048806077353203,-0.0006257569849949223,0.4410866580012392,-0.03474276781597263,-7.142857142793855e-07,-0.010105355611300491,-1.0140890956154902,2.1463772970863135,good,good,good
./data/2025-07-17 GraSi NMC811 XFC 15 4_3_8_2025-07-17 18-39-25_bad.xlsx,0.001937157142857143,1.0000000000005664e-07,0.0038087714285714278,-0.0015944000000000002,0.5190714941884849,0.21088258439726826,3.3777962574317706,-0.1361872214673827,3.928310517240852,0.018308896969444266,0.7767460317460324,-0.709500000000004,1.469607142857143,-0.6151944444444499,0.0015002277537346715,1.532701813267384e-05,0.0025916843301171575,-2.502046261149138e-08,0.0067365619663372995,-0.00018664348075442955,0.550514259809082,0.15449611843682698,2.1428571428701714e-06,-0.004615785109463161,2.4078369321133417,0.4556243138494557,good,good,good
./data/2025-07-17 GraSi NMC811 XFC 2 1_4_1_2025-07-17 18-39-47_bad.xlsx,0.0019369571428571426,1.9999999999989644e-07,0.004767542857142857,-0.0032453,0.4235623353369398,0.23211515441285963,3.3494259202783594,-0.16042846694903368,4.017798867930639,-0.0192186279555564,0.8551825396825395,-0.8788333333333359,1.8399246031746053,-1.2524444444444498,0.001459660299214861,3.7854657025476485e-05,0.0025911469576504814,-1.7785565075388587e-08,0.006604428981210017,-0.00020591951713191947,0.6683729476522796,0.14120983899347728,1.7857142857256044e-06,-0.0036975242890869868,2.3988115867268487,0.41274234244936503,good,good,good
./data/2025-07-17 GraSi NMC811 XFC 2 2_4_2_2025-07-17 18-40-07_bad.xlsx,0.0018956,-1.0000000000005664e-07,0.0051543,-0.0026648999999999996,0.3882073863761021,0.12992385817308869,3.2523128923198406,-0.1808037395131925,4.0772267746681345,0.038731968466056976,0.47227380952380965,-0.6328888888888891,1.9890833333333329,-1.02833333333333,0.0015104763004096093,-1.0024442713808292e-05,0.002591281560465457,-1.0455977404819766e-07,0.006406493842973672,-0.0002426225814379174,0.8249138823482938,0.21953570797924948,0.0010250000000000064,-0.0019443387681493435,3.7350942637884215,-0.5731045533723018,bad,good,bad
./data/2025-07-17 GraSi NMC811 XFC 2 3_4_3_2025-07-17 18-40-21_good.xlsx,0.0019353857142857145,-9.99999999998398e-08,0.003534185714285714,-0.0011393000000000002,0.5538059500172267,0.17275251536281439,3.37854176964101,-0.12312882457241825,3.91238173484632,0.06814564626611519,0.6325714285714287,-0.517416666666666,1.3639960317460313,-0.43963888888888003,0.0015231102949381011,-1.6129679529194342e-05,0.0025910263468463253,-9.012157204399754e-08,0.006791889219627241,-0.00018690717738527058,0.5338399652053111,0.19127447083853344,-2.8571428571275853e-06,-0.005050268573697762,3.1755596354851727,0.09847999115142092,bad,good,bad
