DataPoint,cycle_index,step_type,Time(h),Total Time(h),current_a,voltage_v,capacity_ah,spec_cap,chg_cap,chg_spec,dchg_cap,dchg_spec,energy_wh,date,power_w,mission_step,t_cum_s,Cycle,file,file_key,label,dvdt_v_per_s
35279,14,CC DChg,0.883333333333333,97.4222222222222,-0.00091945,3.5946,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00305216,2025-06-27 04:07:31,-0.00330506,take_off,1.0,14,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_drone,-8.999999999996789e-05
36854,15,CC DChg,0.883333333333333,101.752083333333,-0.00091945,3.5885,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00304781,2025-06-27 08:27:19,-0.00329947,take_off,0.0,15,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_drone,-9.999999999998899e-05
36855,15,CC DChg,0.886111111111111,101.754861111111,-0.00091945,3.5875,0.00081474,59.55,0.0,0.0,0.00081474,59.55,0.00305697,2025-06-27 08:27:29,-0.00329858,take_off,10.0,15,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_drone,-9.500000000000064e-05
38399,16,CC DChg,0.883333333333333,106.000444444444,-0.00091944,3.5819,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00304364,2025-06-27 12:42:14,-0.00329337,take_off,1.0,16,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_drone,-9.00000000000123e-05
39911,17,CC DChg,0.883333333333333,110.155527777778,-0.00091945,3.5756,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00303852,2025-06-27 16:51:33,-0.00328761,take_off,1.0,17,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_drone,-9.00000000000123e-05
41386,18,CC DChg,0.883333333333333,114.2085,-0.00091945,3.5685,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00303338,2025-06-27 20:54:44,-0.00328102,take_off,0.0,18,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_drone,-9.999999999998899e-05
41387,18,CC DChg,0.886111111111111,114.211277777778,-0.00091945,3.5675,0.00081474,59.55,0.0,0.0,0.00081474,59.55,0.00304249,2025-06-27 20:54:54,-0.00328018,take_off,10.0,18,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_drone,-9.499999999997843e-05
42824,19,CC DChg,0.883333333333333,118.161194444444,-0.00091945,3.5607,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00302726,2025-06-28 00:51:54,-0.00327383,take_off,0.0,19,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-0.0001000000000000334
42825,19,CC DChg,0.886111111111111,118.163972222222,-0.00091945,3.5597,0.00081474,59.55,0.0,0.0,0.00081474,59.55,0.00303635,2025-06-28 00:52:04,-0.00327299,take_off,10.0,19,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-9.500000000001174e-05
44226,20,CC DChg,0.883333333333333,122.007416666667,-0.00091945,3.554,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00302247,2025-06-28 04:42:41,-0.00326776,take_off,0.0,20,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-8.999999999996789e-05
44227,20,CC DChg,0.886111111111111,122.010194444444,-0.00091945,3.5531,0.00081474,59.55,0.0,0.0,0.00081474,59.55,0.00303155,2025-06-28 04:42:51,-0.00326689,take_off,10.0,20,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-9.499999999998399e-05
45592,21,CC DChg,0.883333333333333,125.753722222222,-0.00091946,3.5471,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00301708,2025-06-28 08:27:29,-0.00326144,take_off,0.0,21,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-9.00000000000123e-05
45593,21,CC DChg,0.886111111111111,125.7565,-0.00091946,3.5462,0.00081474,59.55,0.0,0.0,0.00081474,59.55,0.00302614,2025-06-28 08:27:39,-0.00326061,take_off,10.0,21,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-9.000000000000674e-05
46930,22,CC DChg,0.883333333333333,129.41875,-0.00091945,3.5408,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00301244,2025-06-28 12:07:24,-0.00325558,take_off,0.0,22,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-9.00000000000123e-05
46931,22,CC DChg,0.886111111111111,129.421527777778,-0.00091945,3.5399,0.00081473,59.55,0.0,0.0,0.00081473,59.55,0.00302148,2025-06-28 12:07:34,-0.00325472,take_off,10.0,22,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-8.999999999997899e-05
48258,23,CC DChg,0.883333333333333,133.059583333333,-0.00091947,3.5389,0.00081219,59.37,0.0,0.0,0.00081219,59.37,0.00301102,2025-06-28 15:45:51,-0.00325394,take_off,0.0,23,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-9.999999999998899e-05
48259,23,CC DChg,0.886111111111111,133.062361111111,-0.00091947,3.5379,0.00081475,59.55,0.0,0.0,0.00081475,59.55,0.00302006,2025-06-28 15:46:01,-0.00325304,take_off,10.0,23,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-9.500000000001174e-05
49575,24,CC DChg,0.883333333333333,136.668,-0.00091947,3.5344,0.0008122,59.37,0.0,0.0,0.0008122,59.37,0.00300795,2025-06-28 19:22:22,-0.00324978,take_off,0.0,24,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-0.0001000000000000334
49576,24,CC DChg,0.886111111111111,136.670777777778,-0.00091947,3.5334,0.00081475,59.55,0.0,0.0,0.00081475,59.55,0.00301697,2025-06-28 19:22:32,-0.00324889,take_off,10.0,24,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-9.499999999998399e-05
50888,25,CC DChg,0.883333333333333,140.262027777778,-0.00091946,3.5275,0.0008122,59.37,0.0,0.0,0.0008122,59.37,0.00300389,2025-06-28 22:58:02,-0.00324335,take_off,1.0,25,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-8.999999999996789e-05
52202,26,CC DChg,0.883333333333333,143.860861111111,-0.00091947,3.5245,0.0008122,59.37,0.0,0.0,0.0008122,59.37,0.00300102,2025-06-29 02:33:58,-0.00324069,take_off,0.0,26,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-0.0001000000000000334
52203,26,CC DChg,0.886111111111111,143.863638888889,-0.00091948,3.5235,0.00081476,59.55,0.0,0.0,0.00081476,59.55,0.00301002,2025-06-29 02:34:08,-0.00323981,take_off,10.0,26,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-0.00010000000000001674
28931,11,CC DChg,0.833305555555556,79.94025,-0.00091945,3.4576,0.00076618,56.0,0.0,0.0,0.00076618,56.0,0.00279513,2025-06-26 12:28:24,-0.00317905,take_off,1.0,11,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,GOOD_not_drone,-0.00018999999999995686
30004,12,CC DChg,0.883333333333333,82.871,-0.00091944,3.5268,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00302022,2025-06-26 15:24:16,-0.00324268,take_off,0.0,12,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,GOOD_not_drone,-0.00012000000000003119
30005,12,CC DChg,0.886111111111111,82.8737777777778,-0.00091944,3.5256,0.00081473,59.55,0.0,0.0,0.00081473,59.55,0.00302922,2025-06-26 15:24:26,-0.0032416,take_off,10.0,12,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,GOOD_not_drone,-0.00011500000000000399
31102,13,CC DChg,0.883333333333333,85.8763333333333,-0.00091944,3.5182,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00301474,2025-06-26 18:24:36,-0.00323475,take_off,1.0,13,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,GOOD_not_drone,-0.00012000000000003119
32196,14,CC DChg,0.883333333333333,88.8686388888889,-0.00091944,3.5087,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00300952,2025-06-26 21:24:09,-0.00322605,take_off,1.0,14,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,BAD,-0.00013000000000000788
33288,15,CC DChg,0.883333333333333,91.8573888888889,-0.00091944,3.498,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.0030033,2025-06-27 00:23:29,-0.00321624,take_off,0.0,15,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,BAD,-0.00013000000000000788
33289,15,CC DChg,0.886111111111111,91.8601666666667,-0.00091945,3.4967,0.00081473,59.55,0.0,0.0,0.00081473,59.55,0.00301224,2025-06-27 00:23:39,-0.00321499,take_off,10.0,15,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,BAD,-0.000135000000000024
34370,16,CC DChg,0.883333333333333,94.8143055555555,-0.00091945,3.4818,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00299591,2025-06-27 03:20:54,-0.00320131,take_off,0.0,16,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,BAD,-0.00016999999999995908
34371,16,CC DChg,0.886111111111111,94.8170833333333,-0.00091945,3.4801,0.00081473,59.55,0.0,0.0,0.00081473,59.55,0.0030048,2025-06-27 03:21:04,-0.00319978,take_off,10.0,16,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,BAD,-0.00016999999999997573
35437,17,CC DChg,0.883333333333333,97.7315277777778,-0.00091945,3.4632,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.0029879,2025-06-27 06:15:57,-0.00318427,take_off,0.0,17,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,BAD,-0.00019000000000000128
35438,17,CC DChg,0.886111111111111,97.7343055555556,-0.00091945,3.4613,0.00081473,59.55,0.0,0.0,0.00081473,59.55,0.00299674,2025-06-27 06:16:07,-0.00318244,take_off,10.0,17,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,BAD,-0.00020000000000000573
36489,18,CC DChg,0.883333333333333,100.607722222222,-0.00091944,3.434,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00297704,2025-06-27 09:08:32,-0.00315736,take_off,0.0,18,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,BAD,-0.00026000000000001575
36490,18,CC DChg,0.886111111111111,100.6105,-0.00091944,3.4314,0.00081473,59.55,0.0,0.0,0.00081473,59.55,0.00298581,2025-06-27 09:08:42,-0.003155,take_off,10.0,18,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,BAD,-0.0002550000000000052
37519,19,CC DChg,0.883333333333333,103.421972222222,-0.00091944,3.4111,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.0029709,2025-06-27 11:57:24,-0.00313634,take_off,0.0,19,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,BAD,-0.00029999999999996696
37520,19,CC DChg,0.886111111111111,103.42475,-0.00091944,3.4081,0.00081473,59.55,0.0,0.0,0.00081473,59.55,0.00297961,2025-06-27 11:57:34,-0.00313353,take_off,10.0,19,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,BAD,-0.0003099999999999881
38532,20,CC DChg,0.883333333333333,106.184277777778,-0.00091944,3.3855,0.00081217,59.37,0.0,0.0,0.00081217,59.37,0.00296182,2025-06-27 14:43:09,-0.00311274,take_off,0.0,20,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,BAD,-0.00036000000000000474
38533,20,CC DChg,0.886111111111111,106.187055555556,-0.00091944,3.3819,0.00081473,59.55,0.0,0.0,0.00081473,59.55,0.00297046,2025-06-27 14:43:19,-0.00310946,take_off,10.0,20,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,BAD,-0.0003599999999999992
