Cycle,Chg_Spec_mAhg,DChg_Spec_mAhg,Chg_Cap_Ah,DChg_Cap_Ah,Chg_Energy_Wh,DChg_Energy_Wh,CE,IR_proxy,HF_CHG_SPEC_HIGH,HF_DCHG_SPEC_LOW,HF_MISSING,hard_fail,soft_score,SP_IR_OUTLIER,SP_CE_SOFT,IR_proxy_threshold,Label,charge_V_end,take_off_V_end,hover_V_end,cruise_V_end,landing_V_end,standby_V_end,standby_t_end_h,landing_V_rel_global,cycle_label_3class,cycle_label_3name,battery_label_3class,battery_label_3name,file
30,145.46,144.42,0.0037685,0.0037418,0.01452,0.0129652,0.9929149528990314,0.3880285199887585,False,False,False,False,80,True,False,0.385,GOOD,4.3,3.478,3.7803,3.3548,3.0073,2.7996,0.795,-0.0663500000000003,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
31,142.6,142.85,0.0036944,0.0037009,0.0142595,0.0128054,1.001759419662192,0.3996834404261178,False,False,False,False,80,True,False,0.385,GOOD,4.3,3.4779,3.7716,3.3409,3.0139,2.7998,0.755,-0.0597500000000001,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
32,144.65,144.17,0.0037476,0.0037351,0.0144401,0.0129363,0.9966645319671256,0.389717948129499,False,False,False,False,80,True,False,0.385,GOOD,4.3002,3.4729,3.7796,3.3521,3.0017,2.8,0.788,-0.0719500000000001,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
33,142.68,141.96,0.0036965,0.0036779,0.0142654,0.0127281,0.9949682131746246,0.3984663933824435,False,False,False,False,80,True,False,0.385,GOOD,4.3001,3.475,3.7706,3.3374,3.0107,2.7999,0.733,-0.0629500000000002,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
34,143.46,143.15,0.0037166,0.0037087,0.0143234,0.0128461,0.9978744013345532,0.3901243562637418,False,False,False,False,80,True,False,0.385,GOOD,4.3001,3.4648,3.7764,3.3476,3.0189,2.7998,0.763,-0.0547500000000003,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
35,143.26,143.88,0.0037116,0.0037277,0.014308,0.0129065,1.004337751912922,0.3926186534243858,False,False,False,False,80,True,False,0.385,GOOD,4.3,3.4704,3.7772,3.3489,3.0193,2.8,0.781,-0.0543500000000003,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
36,144.04,143.99,0.0037318,0.0037305,0.0143813,0.0129183,0.999651642638941,0.3908296926104811,False,False,False,False,80,True,False,0.385,GOOD,4.3001,3.4686,3.7778,3.3502,3.0212,2.7998,0.784,-0.0524500000000003,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
37,143.9,143.57,0.0037282,0.0037196,0.0143657,0.0128784,0.997693256799528,0.3909458057869069,False,False,False,False,80,True,False,0.385,GOOD,4.3002,3.468,3.7765,3.3478,3.0178,2.7997,0.773,-0.0558500000000004,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
38,143.07,142.83,0.0037066,0.0037004,0.0142849,0.0128041,0.9983273080451088,0.3937157503766002,False,False,False,False,80,True,False,0.385,GOOD,4.3,3.4627,3.7738,3.3423,3.0142,2.7998,0.755,-0.05945,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
39,143.54,143.3,0.0037189,0.0037127,0.0143286,0.0128555,0.9983328403560192,0.3903390891602498,False,False,False,False,80,True,False,0.385,GOOD,4.3001,3.4636,3.7774,3.3468,3.0187,2.8,0.767,-0.0549500000000002,1,good_not_drone,0,BAD,2025-06-25 GraSi NMC811 LP57 1_5_5_2025-06-25 18-08-00_good_labeled_3class.xlsx
