Cycle,cycles,hard_fail_cnt,soft_fail_cnt,both_fail_cnt,pct_hard_fail,pct_soft_fail,pct_both_fail
193,27,27,26,26,100.0,96.3,96.3
194,27,26,26,25,96.3,96.3,92.59
195,27,26,26,25,96.3,96.3,92.59
196,27,27,26,26,100.0,96.3,96.3
197,27,27,26,26,100.0,96.3,96.3
198,27,27,26,26,100.0,96.3,96.3
199,27,27,26,26,100.0,96.3,96.3
200,27,27,26,26,100.0,96.3,96.3
201,27,27,26,26,100.0,96.3,96.3
202,27,27,26,26,100.0,96.3,96.3
203,27,27,26,26,100.0,96.3,96.3
204,27,20,20,16,74.07,74.07,59.26
205,25,19,15,15,76.0,60.0,60.0
206,25,19,15,15,76.0,60.0,60.0
207,25,24,23,22,96.0,92.0,88.0
208,25,24,24,23,96.0,96.0,92.0
209,24,23,23,22,95.83,95.83,91.67
210,24,23,23,22,95.83,95.83,91.67
211,24,23,23,22,95.83,95.83,91.67
212,24,23,23,22,95.83,95.83,91.67
213,24,23,23,22,95.83,95.83,91.67
214,24,23,23,22,95.83,95.83,91.67
215,24,23,23,22,95.83,95.83,91.67
216,24,23,23,22,95.83,95.83,91.67
217,24,23,23,22,95.83,95.83,91.67
218,24,24,23,23,100.0,95.83,95.83
219,24,24,23,23,100.0,95.83,95.83
220,24,23,23,22,95.83,95.83,91.67
221,24,23,23,22,95.83,95.83,91.67
222,24,23,23,22,95.83,95.83,91.67
223,24,23,23,22,95.83,95.83,91.67
224,24,24,23,23,100.0,95.83,95.83
225,24,24,23,23,100.0,95.83,95.83
226,24,24,23,23,100.0,95.83,95.83
227,24,24,23,23,100.0,95.83,95.83
228,24,24,23,23,100.0,95.83,95.83
229,24,24,23,23,100.0,95.83,95.83
230,24,24,23,23,100.0,95.83,95.83
231,24,24,23,23,100.0,95.83,95.83
232,24,24,23,23,100.0,95.83,95.83
233,24,24,23,23,100.0,95.83,95.83
234,24,24,23,23,100.0,95.83,95.83
235,24,24,23,23,100.0,95.83,95.83
236,24,24,23,23,100.0,95.83,95.83
237,24,24,23,23,100.0,95.83,95.83
238,24,24,23,23,100.0,95.83,95.83
239,24,24,23,23,100.0,95.83,95.83
240,24,24,23,23,100.0,95.83,95.83
241,24,24,23,23,100.0,95.83,95.83
242,24,24,23,23,100.0,95.83,95.83
243,24,24,23,23,100.0,95.83,95.83
244,24,24,23,23,100.0,95.83,95.83
245,24,24,23,23,100.0,95.83,95.83
246,24,24,23,23,100.0,95.83,95.83
247,24,24,23,23,100.0,95.83,95.83
248,24,24,23,23,100.0,95.83,95.83
249,24,24,23,23,100.0,95.83,95.83
250,24,24,23,23,100.0,95.83,95.83
251,24,24,23,23,100.0,95.83,95.83
252,24,24,23,23,100.0,95.83,95.83
253,24,24,23,23,100.0,95.83,95.83
254,24,24,23,23,100.0,95.83,95.83
255,24,24,23,23,100.0,95.83,95.83
256,24,24,23,23,100.0,95.83,95.83
257,24,24,23,23,100.0,95.83,95.83
258,24,24,23,23,100.0,95.83,95.83
259,23,23,22,22,100.0,95.65,95.65
260,23,23,22,22,100.0,95.65,95.65
261,23,23,22,22,100.0,95.65,95.65
262,23,23,22,22,100.0,95.65,95.65
263,23,22,22,21,95.65,95.65,91.3
264,23,22,22,21,95.65,95.65,91.3
265,23,23,22,22,100.0,95.65,95.65
266,23,23,22,22,100.0,95.65,95.65
267,23,23,22,22,100.0,95.65,95.65
268,23,23,22,22,100.0,95.65,95.65
269,23,22,22,21,95.65,95.65,91.3
270,23,22,22,21,95.65,95.65,91.3
271,23,22,22,21,95.65,95.65,91.3
272,23,22,22,21,95.65,95.65,91.3
273,23,22,22,21,95.65,95.65,91.3
274,23,22,22,21,95.65,95.65,91.3
275,23,22,22,21,95.65,95.65,91.3
276,23,22,22,21,95.65,95.65,91.3
277,23,22,22,21,95.65,95.65,91.3
278,22,22,21,21,100.0,95.45,95.45
279,22,22,21,21,100.0,95.45,95.45
280,22,22,21,21,100.0,95.45,95.45
281,22,22,21,21,100.0,95.45,95.45
282,22,22,21,21,100.0,95.45,95.45
283,22,22,21,21,100.0,95.45,95.45
284,22,22,21,21,100.0,95.45,95.45
285,22,22,21,21,100.0,95.45,95.45
286,22,22,21,21,100.0,95.45,95.45
287,22,22,21,21,100.0,95.45,95.45
288,22,22,21,21,100.0,95.45,95.45
289,22,22,21,21,100.0,95.45,95.45
290,22,22,21,21,100.0,95.45,95.45
291,22,22,21,21,100.0,95.45,95.45
292,22,22,21,21,100.0,95.45,95.45
293,22,22,21,21,100.0,95.45,95.45
294,22,22,21,21,100.0,95.45,95.45
295,22,22,21,21,100.0,95.45,95.45
296,22,22,21,21,100.0,95.45,95.45
297,22,22,21,21,100.0,95.45,95.45
298,22,22,21,21,100.0,95.45,95.45
299,22,22,21,21,100.0,95.45,95.45
300,22,22,21,21,100.0,95.45,95.45
301,22,22,21,21,100.0,95.45,95.45
302,22,22,21,21,100.0,95.45,95.45
303,22,22,21,21,100.0,95.45,95.45
304,22,22,22,22,100.0,100.0,100.0
305,22,22,22,22,100.0,100.0,100.0
306,22,22,22,22,100.0,100.0,100.0
307,22,22,22,22,100.0,100.0,100.0
308,22,22,22,22,100.0,100.0,100.0
309,22,22,22,22,100.0,100.0,100.0
310,22,22,22,22,100.0,100.0,100.0
311,22,22,22,22,100.0,100.0,100.0
312,22,22,22,22,100.0,100.0,100.0
313,22,22,22,22,100.0,100.0,100.0
314,22,22,22,22,100.0,100.0,100.0
315,22,22,22,22,100.0,100.0,100.0
316,22,22,22,22,100.0,100.0,100.0
317,22,22,22,22,100.0,100.0,100.0
318,22,22,22,22,100.0,100.0,100.0
319,22,22,22,22,100.0,100.0,100.0
320,22,22,22,22,100.0,100.0,100.0
321,22,22,21,21,100.0,95.45,95.45
322,21,21,20,20,100.0,95.24,95.24
323,21,21,20,20,100.0,95.24,95.24
324,21,21,20,20,100.0,95.24,95.24
325,21,21,20,20,100.0,95.24,95.24
326,21,21,21,21,100.0,100.0,100.0
327,21,21,21,21,100.0,100.0,100.0
328,21,21,21,21,100.0,100.0,100.0
329,21,21,21,21,100.0,100.0,100.0
330,20,20,20,20,100.0,100.0,100.0
331,20,20,20,20,100.0,100.0,100.0
332,20,20,20,20,100.0,100.0,100.0
333,20,20,20,20,100.0,100.0,100.0
334,20,20,20,20,100.0,100.0,100.0
335,20,20,20,20,100.0,100.0,100.0
336,20,20,20,20,100.0,100.0,100.0
337,20,20,20,20,100.0,100.0,100.0
338,20,20,20,20,100.0,100.0,100.0
339,20,20,20,20,100.0,100.0,100.0
340,20,20,20,20,100.0,100.0,100.0
341,20,20,20,20,100.0,100.0,100.0
342,20,20,20,20,100.0,100.0,100.0
343,20,20,20,20,100.0,100.0,100.0
344,20,20,20,20,100.0,100.0,100.0
345,20,20,20,20,100.0,100.0,100.0
346,20,20,20,20,100.0,100.0,100.0
347,20,20,20,20,100.0,100.0,100.0
348,20,20,20,20,100.0,100.0,100.0
349,20,20,20,20,100.0,100.0,100.0
350,20,20,20,20,100.0,100.0,100.0
351,20,20,20,20,100.0,100.0,100.0
352,20,20,20,20,100.0,100.0,100.0
353,20,20,20,20,100.0,100.0,100.0
354,20,20,20,20,100.0,100.0,100.0
355,20,20,20,20,100.0,100.0,100.0
356,20,20,20,20,100.0,100.0,100.0
357,20,20,20,20,100.0,100.0,100.0
358,20,20,20,20,100.0,100.0,100.0
359,20,20,20,20,100.0,100.0,100.0
360,20,20,20,20,100.0,100.0,100.0
361,20,20,20,20,100.0,100.0,100.0
362,20,20,20,20,100.0,100.0,100.0
363,20,20,20,20,100.0,100.0,100.0
364,20,20,20,20,100.0,100.0,100.0
365,20,20,20,20,100.0,100.0,100.0
366,20,20,20,20,100.0,100.0,100.0
367,20,20,20,20,100.0,100.0,100.0
368,20,20,20,20,100.0,100.0,100.0
369,20,20,20,20,100.0,100.0,100.0
370,20,20,20,20,100.0,100.0,100.0
371,20,20,20,20,100.0,100.0,100.0
372,20,20,20,20,100.0,100.0,100.0
373,20,20,20,20,100.0,100.0,100.0
374,20,20,20,20,100.0,100.0,100.0
375,20,20,20,20,100.0,100.0,100.0
376,20,20,20,20,100.0,100.0,100.0
377,20,20,20,20,100.0,100.0,100.0
378,20,20,20,20,100.0,100.0,100.0
379,20,20,20,20,100.0,100.0,100.0
380,20,20,20,20,100.0,100.0,100.0
381,20,20,20,20,100.0,100.0,100.0
382,20,20,20,20,100.0,100.0,100.0
383,20,20,20,20,100.0,100.0,100.0
384,20,20,20,20,100.0,100.0,100.0
385,20,20,20,20,100.0,100.0,100.0
386,20,20,20,20,100.0,100.0,100.0
387,20,20,20,20,100.0,100.0,100.0
388,20,20,20,20,100.0,100.0,100.0
389,20,20,20,20,100.0,100.0,100.0
390,20,20,20,20,100.0,100.0,100.0
391,20,20,20,20,100.0,100.0,100.0
392,20,20,20,20,100.0,100.0,100.0
393,20,20,20,20,100.0,100.0,100.0
394,20,20,20,20,100.0,100.0,100.0
395,20,20,20,20,100.0,100.0,100.0
396,20,20,20,20,100.0,100.0,100.0
397,20,20,20,20,100.0,100.0,100.0
398,20,20,20,20,100.0,100.0,100.0
399,20,20,20,20,100.0,100.0,100.0
400,20,20,20,20,100.0,100.0,100.0
401,20,20,20,20,100.0,100.0,100.0
402,20,20,20,20,100.0,100.0,100.0
403,20,20,20,20,100.0,100.0,100.0
404,20,20,20,20,100.0,100.0,100.0
405,20,20,20,20,100.0,100.0,100.0
406,20,20,20,20,100.0,100.0,100.0
407,20,19,16,15,95.0,80.0,75.0
408,20,19,14,14,95.0,70.0,70.0
409,20,19,14,14,95.0,70.0,70.0
410,20,20,20,20,100.0,100.0,100.0
411,20,20,20,20,100.0,100.0,100.0
412,20,20,20,20,100.0,100.0,100.0
413,20,20,20,20,100.0,100.0,100.0
414,20,20,20,20,100.0,100.0,100.0
415,20,20,20,20,100.0,100.0,100.0
416,20,20,20,20,100.0,100.0,100.0
417,20,20,20,20,100.0,100.0,100.0
418,20,20,20,20,100.0,100.0,100.0
419,20,20,20,20,100.0,100.0,100.0
420,20,20,20,20,100.0,100.0,100.0
421,20,20,20,20,100.0,100.0,100.0
422,20,20,20,20,100.0,100.0,100.0
423,20,20,20,20,100.0,100.0,100.0
424,20,20,20,20,100.0,100.0,100.0
425,20,20,20,20,100.0,100.0,100.0
426,20,20,20,20,100.0,100.0,100.0
427,20,20,20,20,100.0,100.0,100.0
428,20,20,20,20,100.0,100.0,100.0
429,20,20,20,20,100.0,100.0,100.0
430,20,20,20,20,100.0,100.0,100.0
431,20,20,20,20,100.0,100.0,100.0
432,20,20,20,20,100.0,100.0,100.0
433,20,20,20,20,100.0,100.0,100.0
434,20,20,20,20,100.0,100.0,100.0
435,20,20,20,20,100.0,100.0,100.0
436,20,20,20,20,100.0,100.0,100.0
437,20,20,20,20,100.0,100.0,100.0
438,20,20,20,20,100.0,100.0,100.0
439,20,20,20,20,100.0,100.0,100.0
440,20,20,20,20,100.0,100.0,100.0
441,20,20,20,20,100.0,100.0,100.0
442,20,20,20,20,100.0,100.0,100.0
443,20,20,20,20,100.0,100.0,100.0
444,20,20,20,20,100.0,100.0,100.0
445,20,20,20,20,100.0,100.0,100.0
446,20,20,20,20,100.0,100.0,100.0
447,19,19,19,19,100.0,100.0,100.0
448,19,19,19,19,100.0,100.0,100.0
449,19,19,19,19,100.0,100.0,100.0
450,19,19,19,19,100.0,100.0,100.0
451,19,19,19,19,100.0,100.0,100.0
452,19,19,19,19,100.0,100.0,100.0
453,19,19,19,19,100.0,100.0,100.0
454,19,19,19,19,100.0,100.0,100.0
455,19,19,19,19,100.0,100.0,100.0
456,19,19,19,19,100.0,100.0,100.0
457,19,19,19,19,100.0,100.0,100.0
458,19,19,19,19,100.0,100.0,100.0
459,19,19,19,19,100.0,100.0,100.0
460,19,19,19,19,100.0,100.0,100.0
461,19,19,19,19,100.0,100.0,100.0
462,19,19,19,19,100.0,100.0,100.0
463,19,19,19,19,100.0,100.0,100.0
464,19,19,19,19,100.0,100.0,100.0
465,19,19,19,19,100.0,100.0,100.0
466,19,19,19,19,100.0,100.0,100.0
467,19,19,19,19,100.0,100.0,100.0
468,19,19,19,19,100.0,100.0,100.0
469,19,19,19,19,100.0,100.0,100.0
470,19,19,19,19,100.0,100.0,100.0
471,19,19,19,19,100.0,100.0,100.0
472,19,19,19,19,100.0,100.0,100.0
473,19,19,19,19,100.0,100.0,100.0
474,19,19,19,19,100.0,100.0,100.0
