model,feature_set,accuracy,macro_f1,syn_accuracy,syn_macro_f1,accuracy_impr,macro_f1_impr
MLP,early50_only,0.875,0.8541449882400419,0.875,0.8538691130154544,0.0,-0.00027587522458749625
RandomForest,early50_plus_base,0.9914772727272727,0.9888047324192835,0.9914772727272727,0.9888047324192835,0.0,0.0
XGBoost,early50_plus_base,0.9914772727272727,0.9888047324192835,0.9872159090909091,0.9835591801296165,-0.0042613636363636465,-0.005245552289666944
MLP,early50_plus_base,0.9886363636363636,0.9855538296607608,0.9886363636363636,0.9853734168109641,0.0,-0.00018041284979664063
RandomForest,early60_only,0.8721590909090909,0.8560154364188696,0.8977272727272727,0.8802605966202891,0.025568181818181768,0.024245160201419536
XGBoost,early60_only,0.8536931818181818,0.8392270295868741,0.8835227272727273,0.8680275013937683,0.029829545454545525,0.028800471806894157
MLP,early60_only,0.8778409090909091,0.8566355180167092,0.8892045454545454,0.8688737898570033,0.011363636363636354,0.012238271840294024
RandomForest,early60_plus_base,0.9914772727272727,0.9888047324192835,0.9914772727272727,0.9888047324192835,0.0,0.0
XGBoost,early60_plus_base,0.9900568181818182,0.9870261059649424,0.9872159090909091,0.9835591801296165,-0.0028409090909091717,-0.003466925835325929
MLP,early60_plus_base,0.9886363636363636,0.9855538296607608,0.9872159090909091,0.9835591801296165,-0.0014204545454545858,-0.0019946495311442547
